Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Ti2MnIn,Ti,Mn,In,xa,-0.161635,-0.113834,6.47661304,99.9494,0,6.9091,1,-1.204,-1.285,2.957,-0.038,0.43,18
Ti2MnPb,Ti,Mn,Pb,l21,0.061488,0.09503225,6.532897326,38.6183,292.502,7.1525,0.080856,-0.646,-0.646,2.35,0.021,1.079,19
Ti2MnSb,Ti,Mn,Sb,l21,0.093189,-0.1850715,6.446015116,320.8805,433.502,8.6921,0.431007,-0.919,-0.919,2.363,0.047,0.572,20
Ti2MnSi,Ti,Mn,Si,l21,0.179643,-0.4280265,6.056642524,146.3899,103.502,8.6509,0.007594,-0.289,-0.289,0.714,0.01,0.146,19
Ti2MnSn,Ti,Mn,Sn,l21,0.193367,-0.15992075,6.434345025,27.9176,1141.5,7.3501,0.085826,-0.553,-0.553,2.062,0.015,0.971,19
Ti2MoAl,Ti,Mo,Al,l21,0.703185,-0.3070195,6.352599239,1.2636,0,7.8414,0.001124,0.001,0.001,-0.001,0,0.001,17
Ti2MoAs,Ti,Mo,As,l21,0.373934,-0.277235,6.271505405,12.4427,0,9.1024,0.0115,0.002,0.002,-0.001,0,0.003,19
Ti2MoB,Ti,Mo,B,l21,0.78574,0.0358715,6.004344907,4.813,0,8.1169,0,0,0,0,0,0,17
Ti2MoBi,Ti,Mo,Bi,l21,0.245315,0.11816625,6.605692555,2.5945,0,9.145,0.000384,0,0,0,0,0,19
Ti2MoGa,Ti,Mo,Ga,l21,0.822237,-0.32572175,6.322793274,2.0584,0,7.0012,0.000371,0,0,0,0,0,17
Ti2MoGe,Ti,Mo,Ge,l21,0.596745,-0.35148125,6.293564308,3.9387,0,8.2992,0.000792,0,0,0.001,0,0.001,18
Ti2MoIn,Ti,Mo,In,l21,0.858524,-0.1267375,6.524636905,1.2226,0,7.5697,0.00249,0.001,0.001,-0.001,0,0.001,17
Ti2MoPb,Ti,Mo,Pb,l21,0.609927,0.05962775,6.582886947,7.7501,0,8.175,0.002463,0.001,0.001,-0.001,0,0.001,18
Ti2MoSb,Ti,Mo,Sb,l21,0.216697,-0.1790245,6.482770526,9.7288,0,9.8488,0.134744,0.027,0.027,-0.006,0,0.048,19
Ti2MoSi,Ti,Mo,Si,l21,0.505922,-0.42106075,6.224413507,1.314,0,9.1043,0.000782,0,0,0,0,0,18
Ti2MoSn,Ti,Mo,Sn,l21,0.575421,-0.224705,6.507673413,2.7325,0,8.2928,0.000686,0,0,0.001,0,0.001,18
Ti2NbAl,Ti,Nb,Al,l21,0.460992,-0.22445625,6.466294938,16.1113,0,5.9952,0.000165,0.001,0.001,-0.001,0,0.001,16
Ti2NbAs,Ti,Nb,As,l21,0.604269,-0.309934,6.359534542,1.8934,0,7.2574,0.000063,0,0,0.001,0,0.001,18
Ti2NbB,Ti,Nb,B,l21,0.436431,0.17615425,6.099791594,4.262,0,5.9522,0,0,0,0,0,0,16
Ti2NbBi,Ti,Nb,Bi,l21,0.646634,0.0076485,6.692226869,5.4313,0,7.5304,0.008024,0.001,0.001,-0.001,0,0.001,18
Ti2NbGa,Ti,Nb,Ga,l21,0.538493,-0.24952425,6.428846563,3.0168,0,5.1604,0.000758,0.001,0.001,-0.002,0,0,16
Ti2NbGe,Ti,Nb,Ge,l21,0.660229,-0.3316235,6.389742144,3.7369,0,6.2867,0.003102,0.001,0.001,-0.001,0,0.001,17
Ti2NbIn,Ti,Nb,In,l21,0.613665,-0.10203425,6.631492053,0.4122,0,5.8431,0.000175,0.001,0.001,-0.001,0,0.001,16
Ti2NbPb,Ti,Nb,Pb,l21,0.732623,0.010134,6.677531775,3.192,0,6.388,0.004414,0.001,0.001,-0.002,0,0,17
Ti2NbSb,Ti,Nb,Sb,l21,0.62146,-0.2667435,6.571587381,7.4359,0,8.1213,0,0,0,0,0,0,18
Ti2NbSi,Ti,Nb,Si,l21,0.587943,-0.3774015,6.324599225,4.1285,0,6.97,0.001057,0,0,0.001,0,0.001,17
Ti2NbSn,Ti,Nb,Sn,l21,0.699537,-0.25191275,6.605477594,4.1058,0,6.4093,0.003317,0.001,0.001,-0.001,0,0.001,17
Ti2NiAl,Ti,Ni,Al,l21,0.030127,-0.26901775,6.215339913,417.8016,124.502,7.0414,0.09322,0.421,0.421,0.493,0.017,1.352,21
Ti2NiAs,Ti,Ni,As,l21,1.387875,-0.43826425,6.146684087,13.9064,0,7.7596,0.014211,0.013,0.013,0.002,0,0.028,23
Ti2NiB,Ti,Ni,B,l21,1.245873,-0.1696325,5.815248997,236.311,0,7.1775,0.153718,0.302,0.302,0.364,0.002,0.97,21
Ti2NiBi,Ti,Ni,Bi,l21,0.664165,0.0362665,6.53040831,619.6667,0,7.763,0.316612,0.47,0.47,0.051,0.01,1.001,23
Ti2NiGa,Ti,Ni,Ga,l21,0.350973,-0.34874475,6.184510058,663.7503,106.502,6.0601,0.404527,0.319,0.319,0.44,0.041,1.119,21
Ti2NiGe,Ti,Ni,Ge,l21,0.83797,-0.3995925,6.164049216,31.172,0,7.064,0.062454,0.24,0.24,0.205,0.001,0.686,22
Ti2NiIn,Ti,Ni,In,xa,-0.086184,-0.10642475,6.400336018,20.5184,166.502,6.6943,1,0.999,1.412,0.167,-0.001,2.577,21
Ti2NiPb,Ti,Ni,Pb,l21,0.299506,0.05341875,6.499466732,241.4461,0,6.8932,0.0816,0.058,0.058,0.072,0,0.188,22
Ti2NiSb,Ti,Ni,Sb,l21,0.696912,-0.222685,6.392639868,5.0249,0,8.5102,0.164149,0.166,0.166,0.058,-0.001,0.389,23
Ti2NiSi,Ti,Ni,Si,l21,0.751286,-0.442175,6.099712398,151.5591,57.0015,7.8689,0.197505,0.293,0.293,0.262,-0.001,0.847,22
Ti2NiSn,Ti,Ni,Sn,l21,0.215778,-0.1834,6.407573963,129.0306,0,7.0473,0.008803,0.002,0.002,0.001,0,0.005,22
Ti2PdAl,Ti,Pd,Al,xa,-0.349582,-0.43517725,6.342877935,26.4508,190.502,7.7634,1,0.936,1.492,0.092,-0.018,2.502,21
Ti2PdAs,Ti,Pd,As,l21,1.396058,-0.539019,6.328127687,1.9877,0,8.1391,0.001691,0.001,0.001,0,0,0.002,23
Ti2PdB,Ti,Pd,B,l21,0.624979,-0.0728525,6.043467711,280.664,0,7.5762,0.125042,0.437,0.437,0.114,-0.017,0.971,21
Ti2PdBi,Ti,Pd,Bi,l21,0.764966,-0.17013075,6.667636523,721.7709,0,8.1722,0.111591,0.452,0.452,0.022,0.001,0.927,23
Ti2PdGa,Ti,Pd,Ga,xa,-0.016315,-0.42307975,6.330772267,36.5988,159.002,6.8267,1,1.005,1.467,0.095,-0.022,2.545,21
Ti2PdGe,Ti,Pd,Ge,l21,0.712927,-0.4822015,6.355392311,15.3731,0,7.4873,0.020101,0.63,0.63,0.112,-0.019,1.353,22
Ti2PdIn,Ti,Pd,In,xa,-0.308211,-0.31018475,6.545861422,35.296,109.502,7.2752,1,1.008,1.43,0.086,-0.018,2.506,21
Ti2PdPb,Ti,Pd,Pb,l21,0.298362,-0.1333175,6.659062146,72.8898,0,7.2875,0.25487,0.772,0.772,0.088,-0.023,1.609,22
Ti2PdSb,Ti,Pd,Sb,l21,0.818109,-0.39264875,6.540469025,0.3846,0,8.8829,0.027148,0.093,0.093,0.012,-0.002,0.196,23
Ti2PdSi,Ti,Pd,Si,l21,0.573473,-0.48822825,6.290742952,20.2236,0,8.2706,0.199614,0.626,0.626,0.126,-0.021,1.357,22
Ti2PdSn,Ti,Pd,Sn,l21,0.199838,-0.34425775,6.581831944,54.0029,711.002,7.4172,0.148208,0.732,0.732,0.104,-0.017,1.551,22
Ti2PtAl,Ti,Pt,Al,xa,-0.582201,-0.64723075,6.308966508,24.5988,112.502,8.7012,1,0.827,1.582,0.097,-0.009,2.497,21
Ti2PtAs,Ti,Pt,As,l21,1.408459,-0.61223125,6.357113409,49.2124,0,8.4412,0.126437,0.171,0.171,0.015,0.001,0.358,23
Ti2PtB,Ti,Pt,B,l21,0.383841,-0.1655465,6.072715061,99.6415,0,8.1323,0.202448,0.187,0.187,0.033,0.001,0.408,21
Ti2PtBi,Ti,Pt,Bi,l21,1.00153,-0.2566415,6.678613649,121.1685,139.502,8.5544,0.241488,0.849,0.849,0.051,0,1.749,23
Ti2PtGa,Ti,Pt,Ga,xa,-0.129908,-0.587022,6.31040052,13.9738,168.002,7.6794,1,0.887,1.563,0.103,0.003,2.556,21
Ti2PtGe,Ti,Pt,Ge,l21,0.6469,-0.56285375,6.372498638,447.4078,100.502,7.904,0.288772,0.693,0.693,0.111,0.002,1.499,22
Ti2PtIn,Ti,Pt,In,xa,-0.31782,-0.44389875,6.523480078,27.2817,123.002,8.0345,1,0.899,1.527,0.097,0.012,2.535,21
Ti2PtPb,Ti,Pt,Pb,l21,0.518989,-0.22584575,6.649736822,448.2209,88.5015,7.7243,0.411047,0.832,0.832,0.123,0.013,1.8,22
Ti2PtSb,Ti,Pt,Sb,l21,0.921261,-0.4543315,6.564673291,186.3835,163.502,9.2243,0.125322,0.682,0.682,0.053,-0.006,1.411,23
Ti2PtSi,Ti,Pt,Si,l21,0.350564,-0.56380625,6.29830758,174.1952,0,8.772,0.001144,0.408,0.408,0.071,-0.002,0.885,22
Ti2PtSn,Ti,Pt,Sn,l21,0.267831,-0.4284955,6.571706175,1319.3052,1117.5,7.9205,0.386732,0.815,0.815,0.141,0.02,1.791,22
Ti2RhAl,Ti,Rh,Al,xa,-0.495684,-0.561844,6.257036586,218.111,118.502,8.11,1,0.567,1.188,-0.062,-0.015,1.678,20
Ti2RhAs,Ti,Rh,As,l21,0.660627,-0.540656,6.276972754,11.8215,0,8.5002,0.012393,0.068,0.068,0.021,0.002,0.159,22
Ti2RhB,Ti,Rh,B,l21,0.135247,-0.16619075,5.978799967,10.5688,0,8.1773,0,0,0,0,0,0,20
Ti2RhBi,Ti,Rh,Bi,l21,0.179975,-0.131422,6.623466391,448.1871,111.002,8.4523,0.289231,0.695,0.695,0.143,0.01,1.543,22
Ti2RhGa,Ti,Rh,Ga,xa,-0.234475,-0.54657325,6.241535391,333.3638,109.502,7.147,1,0.617,1.173,-0.064,-0.022,1.704,20
Ti2RhGe,Ti,Rh,Ge,xa,-0.044441,-0.51128175,6.248561204,37.6297,0,8.3949,0.442005,0.811,1.533,0.137,-0.01,2.471,21
Ti2RhIn,Ti,Rh,In,xa,-0.443051,-0.37213675,6.457238315,348.0592,91.5015,7.596,1,0.618,1.159,-0.087,-0.021,1.669,20
Ti2RhPb,Ti,Rh,Pb,xa,-0.286462,-0.17408925,6.557112905,13.0061,130.502,8.0833,1,0.859,1.511,0.131,0.001,2.502,21
Ti2RhSb,Ti,Rh,Sb,l21,0.088379,-0.3646385,6.497438749,237.621,0,9.2295,0.033504,0.526,0.526,0.143,-0.001,1.194,22
Ti2RhSi,Ti,Rh,Si,xa,-0.234789,-0.58759425,6.165041994,38.6642,0,9.2945,0.385608,0.795,1.547,0.145,-0.022,2.465,21
Ti2RhSn,Ti,Rh,Sn,xa,-0.467947,-0.44718725,6.469585813,43.8807,790.502,8.2876,1,0.834,1.533,0.133,0.01,2.51,21
Ti2RuAl,Ti,Ru,Al,xa,-0.085874,-0.4495235,6.235401947,240.9376,70.5015,8.2207,1,0.264,0.725,-0.126,-0.01,0.853,19
Ti2RuAs,Ti,Ru,As,l21,0.095155,-0.38537125,6.250668382,12.8274,0,8.8271,0.00008,0.001,0.001,-0.001,0,0.001,21
Ti2RuB,Ti,Ru,B,l21,0.187358,-0.12764175,5.944153149,7.476,0,8.5779,0.002593,0.001,0.001,0,0,0.002,19
Ti2RuBi,Ti,Ru,Bi,xa,-0.271092,-0.02525725,6.561646873,65.819,99.0015,9.1081,0.201014,0.606,1.516,0.167,0.021,2.31,21
Ti2RuGa,Ti,Ru,Ga,l21,0.054312,-0.4441005,6.250971024,64.3378,0,7.5157,0.001241,0.001,0.001,-0.001,0,0.001,19
Ti2RuGe,Ti,Ru,Ge,xa,-0.224416,-0.45870625,6.215752864,256.9805,190.502,8.3685,0.999991,0.54,1.229,-0.075,-0.015,1.679,20
Ti2RuIn,Ti,Ru,In,xa,-0.067253,-0.2158035,6.440129159,617.2639,48.0015,7.6459,1,0.309,0.714,-0.176,-0.021,0.826,19
Ti2RuPb,Ti,Ru,Pb,xa,-0.363859,-0.0606465,6.516836103,189.1624,169.502,8.0903,1,0.546,1.227,-0.127,-0.008,1.638,20
Ti2RuSb,Ti,Ru,Sb,xa,-0.428712,-0.31852275,6.428948387,25.485,0,9.9307,0.362344,0.564,1.483,0.159,-0.005,2.201,21
Ti2RuSi,Ti,Ru,Si,xa,-0.386244,-0.55425075,6.13591768,139.524,193.502,9.27,0.999996,0.525,1.219,-0.06,-0.021,1.663,20
Ti2RuSn,Ti,Ru,Sn,xa,-0.532477,-0.35400275,6.437102742,373.0154,879.002,8.2181,1,0.535,1.228,-0.113,-0.003,1.647,20
Ti2ScAl,Ti,Sc,Al,xa,-0.335958,-0.13343825,6.670392825,103.9936,90.0015,5.5981,0.03249,1.362,0.863,0.23,-0.032,2.423,14
Ti2ScAs,Ti,Sc,As,xa,-0.411897,-0.2373335,6.507319859,29.366,112.502,6.716,0.207247,1.04,0.313,0.059,-0.026,1.386,16
Ti2ScB,Ti,Sc,B,xa,-0.290201,0.32955225,6.232760196,32.8919,169.502,5.7997,0.173116,1.393,0.668,0.225,-0.052,2.234,14
Ti2ScBi,Ti,Sc,Bi,xa,-0.360329,0.00364075,6.879006296,110.5864,156.002,6.8149,0.028449,1.076,0.286,0.046,-0.045,1.363,16
Ti2ScGa,Ti,Sc,Ga,xa,-0.378033,-0.16620875,6.6300142,146.6818,102.002,4.8493,0.135841,1.4,0.87,0.251,-0.062,2.459,14
Ti2ScGe,Ti,Sc,Ge,xa,-0.344249,-0.22304525,6.550995017,51.4377,115.502,5.8722,0.502737,1.202,0.405,0.097,-0.044,1.66,15
Ti2ScIn,Ti,Sc,In,xa,-0.392861,-0.0787025,6.858942849,36.171,102.002,5.3978,0.000425,1.399,0.958,0.257,-0.072,2.542,14
Ti2ScPb,Ti,Sc,Pb,xa,-0.364577,0.031782,6.877169233,204.3268,108.002,5.8426,0.488628,1.249,0.346,0.076,-0.062,1.609,15
Ti2ScSb,Ti,Sc,Sb,xa,-0.319245,-0.21960625,6.737232801,148.764,106.502,7.4537,0.166685,1.04,0.294,0.042,-0.031,1.345,16
Ti2ScSi,Ti,Sc,Si,xa,-0.284144,-0.234864,6.480868409,14.4926,100.502,6.5773,0.446281,1.225,0.527,0.137,-0.041,1.848,15
Ti2ScSn,Ti,Sc,Sn,xa,-0.311694,-0.18971825,6.797424559,10.8992,133.502,5.9237,0.677891,1.244,0.504,0.112,-0.067,1.793,15
Ti2TiAl,Ti,Ti,Al,xa,-0.000002,-0.15604275,6.45838807,165.5165,69.0015,6.1987,0.278898,1.067,0.235,0.235,-0.02,1.517,15
Ti2TiAs,Ti,Ti,As,l21,0.000001,-0.2645205,6.30777574,26.5584,0,7.3737,0.025557,0.007,0.007,0.021,-0.001,0.034,17
Ti2TiB,Ti,Ti,B,xa,-0.000005,0.19935575,6.019229504,67.9182,0,6.4916,0.16555,0.836,0.129,0.129,-0.024,1.07,15
Ti2TiBi,Ti,Ti,Bi,xa,-0.000001,0.06159875,6.682246763,77.8679,0,7.4702,0.576012,0.322,0.119,0.109,-0.017,0.533,17
Ti2TiGa,Ti,Ti,Ga,l21,0.000008,-0.18314825,6.41090585,81.2499,115.502,5.3892,0.149703,0.181,0.181,1.012,-0.038,1.336,15
Ti2TiGe,Ti,Ti,Ge,xa,-0.000002,-0.26848075,6.362750464,17.9906,121.502,6.5996,0.156338,0.919,0.205,0.205,-0.032,1.297,16
Ti2TiIn,Ti,Ti,In,xa,-0.000001,-0.0338375,6.650004108,367.4745,97.5015,5.9403,0.317499,1.135,0.262,0.262,-0.054,1.605,15
Ti2TiPb,Ti,Ti,Pb,xa,-0.000002,0.07112975,6.686356468,52.0428,121.502,6.5241,0.23555,0.946,0.208,0.207,-0.05,1.311,16
Ti2TiSb,Ti,Ti,Sb,l21,0.000004,-0.20886325,6.553641011,41.6058,0,8.0909,0.464103,0.1,0.1,0.295,-0.011,0.484,17
Ti2TiSi,Ti,Ti,Si,xa,0,-0.316004,6.288987913,258.2927,105.002,7.347,0.365561,0.922,0.207,0.207,-0.027,1.309,16
Ti2TiSn,Ti,Ti,Sn,l21,0.000008,-0.18410925,6.606340265,57.8973,406.502,6.5884,0.110141,0.201,0.201,0.957,-0.048,1.311,16
Ti2VAl,Ti,V,Al,l21,0.332671,-0.16889875,6.325311988,21.4668,159.002,6.3897,0.549551,-0.024,-0.024,1.234,-0.017,1.169,16
Ti2VAs,Ti,V,As,l21,0.206474,-0.29790775,6.19857724,6.1341,0,7.5941,0.000894,0,0,0.001,0,0.001,18
Ti2VB,Ti,V,B,l21,0.487691,0.09167125,5.899157116,31.5894,0,6.4488,0.077827,0.002,0.002,0.049,0,0.053,16
Ti2VBi,Ti,V,Bi,xa,-0.034956,0.1005845,6.550290739,128.5988,612.002,7.7112,0.918407,-0.526,-1.235,1.853,-0.013,0.079,18
Ti2VGa,Ti,V,Ga,l21,0.372242,-0.19901525,6.285042257,143.5839,109.502,5.4715,0.594346,-0.002,-0.002,1.002,-0.029,0.969,16
Ti2VGe,Ti,V,Ge,l21,0.295036,-0.29319575,6.236234919,6.4691,0,6.5172,0.001605,0,0,0.004,0,0.004,17
Ti2VIn,Ti,V,In,l21,0.246691,0.00568075,6.518527502,96.2379,129.002,6.1366,0.516633,-0.045,-0.045,1.237,-0.054,1.093,16
Ti2VPb,Ti,V,Pb,l21,0.109115,0.125734,6.551238262,3.1367,0,6.5197,0.010523,0,0,0.006,0,0.006,17
Ti2VSb,Ti,V,Sb,l21,0.008609,-0.18518325,6.439474378,6.1939,0,8.3934,0.007782,0,0,0.001,0,0.001,18
Ti2VSi,Ti,V,Si,l21,0.2824,-0.3582605,6.164148211,5.9316,0,7.2915,0.01308,0,0,0.007,0,0.007,17
Ti2VSn,Ti,V,Sn,l21,0.129255,-0.14466025,6.474982452,2.0419,0,6.5596,0.014568,0.001,0.001,0.014,0,0.016,17
Ti2WAl,Ti,W,Al,l21,0.795169,-0.24063025,6.359346452,5.3447,0,7.6127,0.003091,0.001,0.001,-0.001,0,0.001,17
Ti2WAs,Ti,W,As,l21,0.510782,-0.14102275,6.301007314,9.7705,0,8.7563,0.002656,0.001,0.001,-0.001,0,0.001,19
Ti2WB,Ti,W,B,l21,0.762908,0.16242975,6.034921618,3.6316,0,7.7378,0.000225,0,0,0,0,0,17
Ti2WBi,Ti,W,Bi,l21,0.546515,0.2271185,6.616115309,355.3198,0,8.9306,0.152976,0.166,0.166,-0.044,0.011,0.299,19
Ti2WGa,Ti,W,Ga,l21,0.935964,-0.24425875,6.334138095,0.1576,0,6.7514,0.000716,0.001,0.001,-0.001,0,0.001,17
Ti2WGe,Ti,W,Ge,l21,0.726146,-0.244464,6.308136365,10.2194,0,8.1147,0.000658,0,0,0.001,0,0.001,18
Ti2WIn,Ti,W,In,l21,1.0671,-0.05582275,6.525778175,0.3094,0,7.3888,0.000162,0,0,0.001,0,0.001,17
Ti2WPb,Ti,W,Pb,l21,0.905915,0.150982,6.584886645,11.8984,0,8.0761,0,0,0,0.001,0,0.001,18
Ti2WSb,Ti,W,Sb,l21,0.429903,-0.06372825,6.490517588,15.0964,0,9.6536,0.000404,0.002,0.002,-0.001,0,0.003,19
Ti2WSi,Ti,W,Si,l21,0.560368,-0.31690775,6.23987369,21.763,0,8.8842,0.000582,0,0,0,0,0,18
Ti2WSn,Ti,W,Sn,l21,0.800353,-0.13887325,6.510370318,0.7666,0,8.1777,0.001463,0.001,0.001,-0.001,0,0.001,18
Ti2YAl,Ti,Y,Al,xa,-0.410532,-0.01405475,6.885207623,270.921,0,5.1636,0.111956,0,0,0.009,0,0.009,14
Ti2YAs,Ti,Y,As,xa,-0.324292,-0.10743575,6.755730714,27.8247,0,6.0834,0.811343,0,0,0.009,0,0.009,16
Ti2YB,Ti,Y,B,xa,-0.517697,0.5065755,6.419286479,105.4406,0,5.3191,0.2774,0,0,0.005,0,0.005,14
Ti2YBi,Ti,Y,Bi,xa,-0.204149,0.08378675,7.11256508,364.6896,0,6.2194,0.109118,0,0,0.006,0,0.006,16
Ti2YGa,Ti,Y,Ga,xa,-0.49789,-0.0568015,6.849635909,210.5218,0,4.4564,0.103426,0,0,0.009,0,0.009,14
Ti2YGe,Ti,Y,Ge,xa,-0.329194,-0.0932615,6.778956344,93.4839,0,5.4092,0.555335,0,0,0.008,0,0.008,15
Ti2YIn,Ti,Y,In,xa,-0.418411,0.00125875,7.071895127,55.5874,0,4.97,0.201761,0,0,0.007,0,0.007,14
Ti2YPb,Ti,Y,Pb,xa,-0.274715,0.1084785,7.094622953,0.4439,0,5.4212,0.558647,0,0,0.006,0,0.006,15
Ti2YSb,Ti,Y,Sb,xa,-0.095463,-0.10024625,6.973464449,251.0407,0,6.8181,0.01944,0,0,0.006,0,0.006,16
Ti2YSi,Ti,Y,Si,xa,-0.262182,-0.0789335,6.703519364,76.6693,0,6.0331,0.469917,0,0,0.008,0,0.008,15
Ti2YSn,Ti,Y,Sn,xa,-0.201609,-0.08787275,7.013978839,91.6168,0,5.504,0.478492,0,0,0.006,0,0.006,15
Ti2ZnAl,Ti,Zn,Al,l21,0.898318,-0.232118,6.340359221,7.1595,0,6.0707,0.011946,0.003,0.003,0,0,0.006,13
Ti2ZnAs,Ti,Zn,As,l21,1.580093,-0.2829925,6.326068592,1.7857,0,6.4015,0.002044,0,0,0,0,0,15
Ti2ZnB,Ti,Zn,B,l21,2.155593,0.01915775,5.936034149,9.4058,0,6.1494,0.000339,0.001,0.001,0,0,0.002,13
Ti2ZnBi,Ti,Zn,Bi,l21,0.868757,0.1001485,6.709771602,5.6517,0,6.5678,0.001152,0,0,0,0,0,15
Ti2ZnGa,Ti,Zn,Ga,l21,1.216443,-0.2848085,6.309834835,11.7514,0,5.1656,0.001825,0.004,0.004,0,0,0.008,13
Ti2ZnGe,Ti,Zn,Ge,l21,1.459767,-0.260221,6.307120959,20.0418,0,6.0782,0.179818,0.164,0.164,0.005,0.005,0.338,14
Ti2ZnIn,Ti,Zn,In,l21,0.76127,-0.08427475,6.550508527,30.4515,0,5.749,0.159506,0.155,0.155,-0.001,-0.001,0.308,13
Ti2ZnPb,Ti,Zn,Pb,l21,0.990798,0.1034695,6.649732579,668.9878,0,5.9964,0.096529,0.369,0.369,0.007,0.007,0.752,14
Ti2ZnSb,Ti,Zn,Sb,l21,1.119567,-0.12377475,6.571727388,4.0395,0,7.2488,0.000116,0,0,0,0,0,15
Ti2ZnSi,Ti,Zn,Si,l21,1.434851,-0.2956025,6.2181245,2.1868,0,6.924,0.006322,0.018,0.018,0,0,0.036,14
Ti2ZnSn,Ti,Zn,Sn,l21,0.985393,-0.118028,6.55587264,53.3356,0,6.1367,0.134075,0.203,0.203,0.004,0.008,0.418,14
Ti2ZrAl,Ti,Zr,Al,xa,-0.071475,-0.13290875,6.653044668,294.9483,70.5015,7.1244,0.181124,1.165,0.338,0.122,-0.018,1.607,15
Ti2ZrAs,Ti,Zr,As,l21,0.317608,-0.255717,6.461285794,17.9115,0,8.3751,0,0,0,0,0,0,17
Ti2ZrB,Ti,Zr,B,xa,-0.254246,0.29720425,6.243016073,60.4093,0,7.5508,0.226166,0.918,0.149,0.056,-0.022,1.101,15
Ti2ZrBi,Ti,Zr,Bi,l21,0.407606,-0.0102855,6.811272538,4.2552,0,8.3521,0.000144,0,0,0.001,0,0.001,17
Ti2ZrGa,Ti,Zr,Ga,xa,-0.082778,-0.156905,6.616304813,60.462,73.5015,6.3746,0.071592,1.163,0.304,0.128,-0.039,1.556,15
Ti2ZrGe,Ti,Zr,Ge,l21,0.104596,-0.235493,6.50997151,19.0667,0,7.4986,0.000263,0,0,0,0,0,16
Ti2ZrIn,Ti,Zr,In,l21,0.035693,-0.04376375,6.778198325,194.3419,0,6.9177,0.121464,0.103,0.103,0.223,-0.009,0.42,15
Ti2ZrPb,Ti,Zr,Pb,l21,0.197738,0.031346,6.810300973,1.2948,0,7.3742,0.000639,0,0,0.001,0,0.001,16
Ti2ZrSb,Ti,Zr,Sb,l21,0.451117,-0.25847925,6.6882501,4.888,0,8.9863,0.000282,0,0,0,0,0,17
Ti2ZrSi,Ti,Zr,Si,l21,0.097037,-0.260925,6.443214973,14.3428,0,8.2213,0.000824,0,0,0,0,0,16
Ti2ZrSn,Ti,Zr,Sn,l21,0.201369,-0.208349,6.737190375,13.1699,0,7.4533,0.004034,0,0,0.002,0,0.002,16
V2AgAl,V,Ag,Al,xa,-0.283008,0.2270805,6.246838692,68.8009,453.002,7.4666,0.5917,1.443,-1.419,0.049,-0.012,0.061,14
V2AgAs,V,Ag,As,l21,0.88826,0.21137,6.185567889,143.0349,0,8.3639,0.487458,0.449,0.449,-0.004,-0.008,0.886,16
V2AgB,V,Ag,B,l21,0.687456,0.61140225,5.878522326,8.4476,0,7.7167,0.000368,0.001,0.001,0,0,0.002,14
V2AgBi,V,Ag,Bi,l21,0.467849,0.5166395,6.75528948,385.3354,445.502,7.3858,0.878101,2.556,2.556,0.052,-0.077,5.087,16
V2AgGa,V,Ag,Ga,l21,0.002663,0.2663575,6.209098989,688.1575,48.0015,6.5731,0.137577,0.379,0.379,-0.012,-0.015,0.731,14
V2AgGe,V,Ag,Ge,l21,0.485927,0.2135275,6.181148472,4.1436,0,7.7365,0.001811,0.002,0.002,0,0,0.004,15
V2AgIn,V,Ag,In,xa,-0.331272,0.36759925,6.495381069,57.4619,609.002,6.8177,0.082119,1.831,-1.778,0.048,-0.067,0.034,14
V2AgPb,V,Ag,Pb,l21,0.086882,0.57388825,6.545541809,157.825,454.502,7.2747,0.720505,1.341,1.341,-0.011,-0.046,2.625,15
V2AgSb,V,Ag,Sb,l21,0.45447,0.3132155,6.427330526,201.9705,265.502,9.0213,0.13416,1.018,1.018,-0.004,-0.025,2.007,16
V2AgSi,V,Ag,Si,l21,0.439656,0.1546215,6.1033144,55.8866,0,8.6324,0.007693,0.012,0.012,-0.001,0,0.023,15
V2AgSn,V,Ag,Sn,l21,0.050521,0.3406845,6.460461307,65.7593,376.502,7.4327,0.316982,1.303,1.303,-0.012,-0.039,2.555,15
V2AuAl,V,Au,Al,xa,-0.451402,-0.01147475,6.218254607,155.8703,609.002,7.8923,0.920879,1.296,-1.282,0.051,-0.012,0.053,14
V2AuAs,V,Au,As,l21,1.329403,0.0089565,6.211831249,2.7039,0,8.2419,0.000468,0,0,0,0,0,16
V2AuB,V,Au,B,l21,0.537808,0.464825,5.940421039,674.3809,0,7.4378,0.321403,0.39,0.39,0.018,-0.024,0.774,14
V2AuBi,V,Au,Bi,l21,0.695597,0.37920475,6.566441057,343.5635,0,8.2175,0.203798,1.058,1.058,0.004,-0.018,2.102,16
V2AuGa,V,Au,Ga,l21,0.003876,0.07694075,6.286105746,66.0602,0,6.4865,0.463828,1.586,1.586,0.027,-0.049,3.15,14
V2AuGe,V,Au,Ge,l21,0.742091,0.03456975,6.213360014,12.4423,0,7.5764,0.001659,0,0,0,0,0,15
V2AuIn,V,Au,In,xa,-0.122293,0.207936,6.484679715,155.2974,766.502,7.066,0.591523,1.771,-1.735,0.064,-0.073,0.027,14
